epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2265,2.29659,2.88606,2.36319,0.00293,0.83019,0.12618,0.03398,3.01984,3.35845,3.29676,0.0005,0.0005,0.0005
2,110.596,2.11666,2.68368,2.19672,0.07153,0.18868,0.11528,0.02573,3.1004,3.44675,3.64308,0.00098634,0.00098634,0.00098634
3,164.293,2.01008,2.62262,2.11151,0.38104,0.32075,0.26817,0.08067,2.81095,2.98172,3.4459,0.00143836,0.00143836,0.00143836
4,218.22,2.07409,2.68744,2.20234,0.20701,0.30189,0.19635,0.05358,2.96195,2.91789,3.88229,0.001802,0.001802,0.001802
5,271.102,2.08654,2.69553,2.19679,0.04537,0.0566,0.04225,0.00987,2.94674,3.35918,3.55859,0.001736,0.001736,0.001736
6,323.726,1.9749,2.55914,2.08287,0.2302,0.28302,0.13609,0.0347,3.04775,4.96278,3.77446,0.00167,0.00167,0.00167
7,376.266,1.96727,2.50475,2.10276,0.14087,0.20755,0.11874,0.03727,2.99262,2.95938,3.19168,0.001604,0.001604,0.001604
8,429.471,1.91181,2.48333,2.06715,0.14494,0.15094,0.10493,0.03522,2.99713,3.07091,3.55191,0.001538,0.001538,0.001538
9,482.76,1.89941,2.47682,2.04439,0.38073,0.16981,0.18163,0.06442,2.78739,3.95071,3.33226,0.001472,0.001472,0.001472
10,536.715,1.93874,2.50616,2.09873,0.03399,0.26415,0.02867,0.00953,2.81637,4.11555,3.26832,0.001406,0.001406,0.001406
11,590.456,1.86945,2.46848,2.04921,0.20612,0.13208,0.13178,0.04025,2.80096,3.04963,3.36103,0.00134,0.00134,0.00134
12,643.417,1.88332,2.44209,2.03832,0.12091,0.20755,0.09031,0.02701,2.88005,2.74812,3.29416,0.001274,0.001274,0.001274
13,696.867,1.85018,2.38991,2.01998,0.18443,0.45283,0.15031,0.03763,2.92979,2.55071,3.56737,0.001208,0.001208,0.001208
14,750.955,1.78644,2.4332,1.96804,0.19863,0.37736,0.20478,0.05954,2.64408,2.43987,3.15029,0.001142,0.001142,0.001142
15,804.619,1.75977,2.34789,1.93838,0.22296,0.4717,0.22186,0.05603,2.72916,2.45751,3.35552,0.001076,0.001076,0.001076
16,858.36,1.72324,2.37454,1.92917,0.22943,0.32075,0.12934,0.03601,2.9484,2.68871,3.48309,0.00101,0.00101,0.00101
17,912.289,1.79018,2.3377,1.93628,0.24284,0.26415,0.16977,0.04238,2.93129,2.81975,3.50178,0.000944,0.000944,0.000944
18,966.141,1.75261,2.26608,1.91885,0.4457,0.33962,0.30785,0.0994,2.76217,2.40926,3.36048,0.000878,0.000878,0.000878
19,1019.07,1.6947,2.20545,1.86121,0.29987,0.4717,0.31644,0.08422,2.65809,2.48774,3.26345,0.000812,0.000812,0.000812
20,1071.81,1.73815,2.2262,1.9078,0.31657,0.50943,0.33935,0.08606,2.72489,2.51194,3.22129,0.000746,0.000746,0.000746
21,1124.3,1.55832,2.40874,1.81417,0.30526,0.4063,0.33477,0.08521,2.64589,2.42356,3.04455,0.00068,0.00068,0.00068
22,1177.46,1.55298,2.28869,1.7804,0.54049,0.37736,0.37275,0.10298,2.67474,2.2185,3.07521,0.000614,0.000614,0.000614
23,1230.85,1.47447,2.1017,1.71702,0.36704,0.4717,0.37721,0.10419,2.62537,2.27072,2.96215,0.000548,0.000548,0.000548
24,1283.7,1.46245,2.00506,1.71932,0.38652,0.4717,0.40095,0.10353,2.58652,2.36091,2.97703,0.000482,0.000482,0.000482
25,1334.74,1.48008,1.97016,1.68723,0.34897,0.58491,0.32997,0.08449,2.61664,2.33424,3.04224,0.000416,0.000416,0.000416
26,1387.31,1.40384,1.93088,1.67074,0.39009,0.5283,0.3714,0.0937,2.55323,2.22056,2.99535,0.00035,0.00035,0.00035
27,1438.98,1.36673,1.86289,1.61518,0.35026,0.56604,0.40844,0.10988,2.54364,2.14137,3.04514,0.000284,0.000284,0.000284
28,1490.75,1.41872,1.84646,1.63811,0.35343,0.557,0.42825,0.11906,2.52603,2.17404,3.09482,0.000218,0.000218,0.000218
29,1542.64,1.3538,1.82647,1.59002,0.43674,0.49749,0.48374,0.13808,2.52377,2.22576,3.12643,0.000152,0.000152,0.000152
30,1595.02,1.39502,1.76796,1.61956,0.4992,0.5283,0.45569,0.1305,2.50861,2.23952,3.14827,8.6e-05,8.6e-05,8.6e-05
